Printyx.net — Page Error Audit,,,,,
"109 authenticated app pages crawled - network-level check of every backend call each page makes - July 21, 2026",,,,,
,,,,,
How this was checked,,,,,
"Direct HTTP checks of https://printyx.net/* all return 200 - the site is a single-page app that serves the same shell for every route, so a plain status-code crawl is meaningless here. Each of the 109 pages in the left-hand nav was opened in a live authenticated browser session, and the actual background API calls the page fires (to functions.printyx.net and api.printyx.net) were inspected for 4xx/5xx responses.",,,,,
,,,,,
Top-line counts,,,,,
Metric,Count,,,,
Pages crawled,109,,,,
Pages with at least one broken backend call,47,,,,
Pages confirmed clean,60,,,,
Site-wide issues affecting nearly every page,2,,,,
Distinct broken endpoints found,66,,,,
- 403 Forbidden (permission/role issue),12,,,,
- 404 Not Found (endpoint missing/unbuilt),34,,,,
- 500 Internal Server Error,25,,,,
- 405 Method Not Allowed (wrong verb),11,,,,
- 400 Bad Request (malformed request),13,,,,
,,,,,
Priority order to fix,,,,,
,,,,,
1. Critical,"Fix the global /me (401) and /rest/v1/users (500) calls first. These fire on almost every page load and are the most likely root cause of the cascading 403s seen across Platform Management/root-admin pages - if the app can't identify who's logged in, downstream role checks may be failing closed.",,,,
2. High,"Root-admin / Platform Management 403s (Admin Hub, Signups & Trials CRM, Root Admin Dashboard, Database Management, Blog admin). This is the exact pattern you flagged - likely a role/permission check rejecting the current account server-side even though the UI renders these menu items.",,,,
3. High,"Shared broken endpoints that take out multiple pages at once: /meter-readings (500) breaks Billing, Meter Billing, Meter Readings, and Advanced Reporting. /vendors (500) breaks Vendors, Accounts Payable, and Purchase Orders. Fixing one endpoint clears several pages.",,,,
4. Medium,"The long tail of page-specific 404s - these read like backend routes that were never built for pages the frontend already ships (Predictive Analytics, Warehouse Operations, Document Management, Workflow Automation, Commission Management, etc). Needs a build decision per page, not just a bug fix.",,,,
5. Medium,"405 Method Not Allowed clusters on Equipment Lifecycle, Purchase Orders, Financial Forecasting, Deal Desk, Mobile Field Service - frontend is calling these with the wrong HTTP verb (likely GET where the backend expects POST or vice versa).",,,,
6. Low,400 Bad Request cluster on Service Analytics (7 calls) and SEO Management (5 calls) - frontend is sending malformed/missing query parameters.,,,,
7. Low,"/service-dispatch and /conversational-ai-dashboard render a 'Coming Soon' placeholder component - not broken, just unbuilt. Confirm these are intentionally unreleased.",,,,
